Committee,Date,Disbursement Type,Expenditure Type,Payee,Employer/Occupation,Amount,Elec Comm,Explanation
"PROTECTING COLORADOÕS ENVIRONMENT, ECONOMY, AND ENERGY INDEPENDENCE",7/5/16,Monetary (Itemized),Consultant & Professional Services,PAC/WEST,,"$1,817,733.54",No,"CAMPAIGN STRATEGY AND MANAGEMENT, PUBLIC OPINION ..."
"PROTECTING COLORADOÕS ENVIRONMENT, ECONOMY, AND ENERGY INDEPENDENCE",6/27/16,Monetary (Itemized),Consultant & Professional Services,"STRATEGIC COMPLIANCE, LLC",,"$1,800.00",No,COMPLIANCE CONSULTING
COLORADANS FOR RESPONSIBLE REFORM,7/27/16,Monetary (Itemized),Consultant & Professional Services,HILL RESEARCH CONSULTANTS,,"$4,000.00",No,
COLORADANS FOR RESPONSIBLE REFORM,7/27/16,Monetary (Itemized),Consultant & Professional Services,MICHELE AMES CONSULTING,,"$2,000.00",No,
COLORADANS FOR RESPONSIBLE REFORM,7/27/16,Monetary (Itemized),Consultant & Professional Services,PATRICK D HOPKINS,,"$4,000.00",No,
COLORADANS FOR RESPONSIBLE REFORM,7/27/16,Monetary (Itemized),Miscellaneous,REITER & ASSOCIATES,,"$7,477.15",No,CAMPAIGN EXPENSE REIMBURSEMENTS.
COLORADANS FOR RESPONSIBLE REFORM,7/27/16,Monetary (Itemized),Consultant & Professional Services,THE MIDG GROUP,,"$2,000.00",No,
COLORADANS FOR RESPONSIBLE REFORM,7/27/16,Monetary (Itemized),Consultant & Professional Services,WR COMMUNICATIONS,,"$2,000.00",No,
COLORADANS FOR RESPONSIBLE REFORM,6/30/16,Monetary (Itemized),Bank Fees,WELLS FARGO BANK,,$32.60,No,
YES FOR LOCAL CONTROL OVER OIL AND GAS,7/22/16,Monetary (Itemized),Office Equipment & Supplies,C AND D PRINTING INC,,"$2,041.58",No,"PETITIONS, REIMB TO KAREN DIKE"
YES FOR LOCAL CONTROL OVER OIL AND GAS,7/21/16,Monetary (Itemized),Consultant & Professional Services,"LOCALIZED STRATEGIES, LLC",,"$15,000.00",No,PETITIONING
YES FOR LOCAL CONTROL OVER OIL AND GAS,7/19/16,Monetary (Itemized),Consultant & Professional Services,"ENCORE POLITICAL SERVICES, LLC",,"$5,000.00",No,"PETITIONING, REIMB TO LOCALIZED STRATEGIES"
YES FOR LOCAL CONTROL OVER OIL AND GAS,7/19/16,Monetary (Itemized),Consultant & Professional Services,"LOCALIZED STRATEGIES, LLC",,"$2,500.00",No,PETITIONING
YES FOR LOCAL CONTROL OVER OIL AND GAS,7/13/16,Monetary (Itemized),Office Equipment & Supplies,C AND D PRINTING INC,,"$2,041.58",No,"PETITIONS, REIMB TO KAREN DIKE"
RAISE THE BAR - PROTECT OUR CONSTITUTION,7/26/16,Monetary (Itemized),Consultant & Professional Services,PUBLIC OPINION STRATEGIES,,"$25,500.00",No,POLLING
RAISE THE BAR - PROTECT OUR CONSTITUTION,7/25/16,Monetary (Itemized),Office Equipment & Supplies,INTUIT QUICKBOOKS,,$18.86,No,ACCOUNTING SOFTWARE
RAISE THE BAR - PROTECT OUR CONSTITUTION,7/22/16,Monetary (Itemized),Fundraising Expenses,STARBOARD GROUP,,$61.00,No,POSTAGE
RAISE THE BAR - PROTECT OUR CONSTITUTION,7/22/16,Monetary (Itemized),Consultant & Professional Services,STARBOARD GROUP,,"$8,355.66",No,FUNDRAISING CONSULTING
RAISE THE BAR - PROTECT OUR CONSTITUTION,7/21/16,Monetary (Itemized),Consultant & Professional Services,3,,"$50,000.00",No,SIGNATURE COLLECTION
RAISE THE BAR - PROTECT OUR CONSTITUTION,7/21/16,Monetary (Itemized),Advertising,ROCK CHALK MEDIA,,"$2,500.00",No,A/V PRODUCTION
RAISE THE BAR - PROTECT OUR CONSTITUTION,7/21/16,Monetary (Itemized),Consultant & Professional Services,TPM LLC,,"$86,952.00",No,SIGNATURE COLLECTION
RAISE THE BAR - PROTECT OUR CONSTITUTION,7/19/16,Monetary (Itemized),Travel & Lodging,BLITZ CANVASSING LLC,,"$2,413.19",No,TRAVEL REIMBURSEMENT
RAISE THE BAR - PROTECT OUR CONSTITUTION,7/14/16,Monetary (Itemized),Consultant & Professional Services,TPM LLC,,"$89,291.50",No,SIGNATURE COLLECTION
RAISE THE BAR - PROTECT OUR CONSTITUTION,7/12/16,Monetary (Itemized),Bank Fees,FIRST BANK,,$10.00,No,WIRE TRANSFER FEE
RAISE THE BAR - PROTECT OUR CONSTITUTION,7/11/16,Monetary (Itemized),Consultant & Professional Services,EIS SOLUTIONS INC.,,"$75,055.07",No,CONSULTING
RAISE THE BAR - PROTECT OUR CONSTITUTION,7/11/16,Monetary (Itemized),Advertising,FASTLANE PRODUCTIONS,,"$5,192.73",No,A/V PRODUCTION
RAISE THE BAR - PROTECT OUR CONSTITUTION,7/7/16,Monetary (Itemized),Consultant & Professional Services,TPM LLC,,"$55,003.50",No,SIGNATURE COLLECTION
RAISE THE BAR - PROTECT OUR CONSTITUTION,7/5/16,Monetary (Itemized),Consultant & Professional Services,BUTLER SNOW,,"$39,856.40",No,LEGAL SERVICES
RAISE THE BAR - PROTECT OUR CONSTITUTION,7/1/16,Monetary (Itemized),Consultant & Professional Services,TPM LLC,,"$73,500.00",No,SIGNATURE COLLECTION
RAISE THE BAR - PROTECT OUR CONSTITUTION,6/30/16,Monetary (Itemized),Bank Fees,FIRST BANK,,$1.00,No,
RAISE THE BAR - PROTECT OUR CONSTITUTION,6/30/16,Monetary (Itemized),Consultant & Professional Services,TPM LLC,,"$34,174.00",No,SIGNATURE COLLECTION
RAISE THE BAR - PROTECT OUR CONSTITUTION,6/29/16,Monetary (Itemized),Consultant & Professional Services,HEALTHY OUTCOMES INC. DBA AS ENGAGED PUBLIC,,"$4,318.97",No,OUTREACH AND CONSULTING
RAISE THE BAR - PROTECT OUR CONSTITUTION,6/24/16,Monetary (Itemized),Consultant & Professional Services,JOHN LAY,,"$6,430.92",No,OUTREACH AND CONSULTING
RAISE THE BAR - PROTECT OUR CONSTITUTION,6/23/16,Monetary (Itemized),Consultant & Professional Services,DEFINERS CORPORATION,,$500.00,No,VIDEO PRODUCTION
RAISE THE BAR - PROTECT OUR CONSTITUTION,6/23/16,Monetary (Itemized),Office Equipment & Supplies,INTUIT QUICKBOOKS,,$18.86,No,ACCOUNTING SOFTWARE
RAISE THE BAR - PROTECT OUR CONSTITUTION,6/23/16,Monetary (Itemized),Consultant & Professional Services,TPM LLC,,"$19,498.50",No,SIGNATURE COLLECTION
YES FOR HEALTH AND SAFETY OVER FRACKING,7/27/16,Monetary (Itemized),Bank Fees,INDIEGOGO,,$546.87,No,BANK FEES
YES FOR HEALTH AND SAFETY OVER FRACKING,7/27/16,Monetary (Itemized),Consultant & Professional Services,"LOCALIZED STRATEGIES, LLC",,"$40,000.00",No,"PETITIONING - #75, REIMB TO TRICIA OLSON"
YES FOR HEALTH AND SAFETY OVER FRACKING,7/27/16,Monetary (Itemized),Consultant & Professional Services,"LOCALIZED STRATEGIES, LLC",,"$40,000.00",No,PETITIONING - #78
YES FOR HEALTH AND SAFETY OVER FRACKING,7/27/16,Monetary (Itemized),Bank Fees,PAYPAL,,$14.71,No,PAYPAL FEES
YES FOR HEALTH AND SAFETY OVER FRACKING,7/22/16,Monetary (Itemized),Office Equipment & Supplies,C AND D PRINTING INC,,"$2,041.58",No,"PETITIONS, REIMB TO KAREN DIKE"
YES FOR HEALTH AND SAFETY OVER FRACKING,7/21/16,Monetary (Itemized),Consultant & Professional Services,"LOCALIZED STRATEGIES, LLC",,"$15,000.00",No,PETITION EXPENSES
YES FOR HEALTH AND SAFETY OVER FRACKING,7/19/16,Monetary (Itemized),Consultant & Professional Services,"ENCORE POLITICAL SERVICES, LLC",,"$5,000.00",No,"PETITIONING - #78, REIMB LOCALIZED STRATEGIES"
YES FOR HEALTH AND SAFETY OVER FRACKING,7/19/16,Monetary (Itemized),Bank Fees,FIRSTBANK OF BOULDER,,$8.00,No,CASHIERS CHECK
YES FOR HEALTH AND SAFETY OVER FRACKING,7/19/16,Monetary (Itemized),Consultant & Professional Services,"LOCALIZED STRATEGIES, LLC",,"$2,500.00",No,INSTALLMENT ON SVC
YES FOR HEALTH AND SAFETY OVER FRACKING,7/15/16,Monetary (Itemized),Consultant & Professional Services,"LOCALIZED STRATEGIES, LLC",,"$28,359.88",No,PETITION EXPENSES
YES FOR HEALTH AND SAFETY OVER FRACKING,7/14/16,Monetary (Itemized),Bank Fees,PAYPAL,,$77.54,No,PAYPAL FEES
YES FOR HEALTH AND SAFETY OVER FRACKING,7/13/16,Monetary (Itemized),Office Equipment & Supplies,C AND D PRINTING INC,,"$2,041.58",No,"PETITIONS, REIMB TO KAREN DIKE"
YES FOR HEALTH AND SAFETY OVER FRACKING,7/12/16,Monetary (Itemized),Advertising,"FACEBOOK, INC",,$25.10,No,"FACEBOOK BOOST, ACTUAL"
YES FOR HEALTH AND SAFETY OVER FRACKING,7/10/16,Monetary (Itemized),Consultant & Professional Services,"LOCALIZED STRATEGIES, LLC",,"$2,500.00",No,INSTALLMENT ON SVC
YES FOR HEALTH AND SAFETY OVER FRACKING,7/10/16,Monetary (Itemized),Consultant & Professional Services,"LOCALIZED STRATEGIES, LLC",,"$13,094.26",No,PETITION EXPENSES
YES FOR HEALTH AND SAFETY OVER FRACKING,7/8/16,Monetary (Itemized),Office Equipment & Supplies,TARGET,,$4.56,No,"CUPS, REIMB TO SUZANNE SPIEGEL"
YES FOR HEALTH AND SAFETY OVER FRACKING,7/8/16,Monetary (Itemized),"Food, Beverages and Meals",TARGET,,$8.70,No,"BEVERAGES, REIMB TO SUZANNE SPIEGEL"
YES FOR HEALTH AND SAFETY OVER FRACKING,7/8/16,Monetary (Itemized),"Food, Beverages and Meals",WHOLE FOODS,,$8.29,No,"ICE, REIMB TO SUZANNE SPIEGEL"
YES FOR HEALTH AND SAFETY OVER FRACKING,7/7/16,Monetary (Itemized),Bank Fees,PAYPAL,,$31.85,No,PAYPAL FEES
YES FOR HEALTH AND SAFETY OVER FRACKING,7/2/16,Monetary (Itemized),Advertising,CLEAN ENERGY ACTION,,$100.00,No,BOOTH FEE
YES FOR HEALTH AND SAFETY OVER FRACKING,7/2/16,Monetary (Itemized),Consultant & Professional Services,"LOCALIZED STRATEGIES, LLC",,"$5,062.55",No,PETITIONING
YES FOR HEALTH AND SAFETY OVER FRACKING,7/2/16,Monetary (Itemized),Bank Fees,PAYPAL,,$47.10,No,PAYPAL FEES
YES FOR HEALTH AND SAFETY OVER FRACKING,6/29/16,Monetary (Itemized),Consultant & Professional Services,"LOCALIZED STRATEGIES, LLC",,"$2,500.00",No,INSTALLMENT ON SVC
