Operator,Colorado Number,Year,Oil Production (barrels),Oil Sales (barrels),Gas Production (Mcf),Gas Sales (Mcf),Water Production (barrels),Public,Notes,Stock Symbol
Wyman* Louis M Dba Wyman Inc,#97730,2014,839,754,"30,433","28,144",80,n,,
Aus-Tex Exploration Inc,#10412,2014,835,557,"23,777",,347,y,Subsidiary of Austin Exploration (ON ASE),AKK:AU
Sandlin Oil Corp,#76175,2014,817,882,"45,886","45,886",,n,,
Alamosa Drilling Inc,#900,2014,792,"1,037",,,,n,,
Tarpon Oil Company,#85565,2014,789,695,,,,n,,
Lyster Oil Company Inc,#51922,2014,788,758,,,,n,,
Red Mountain Energy Llc,#10078,2014,782,786,"2,161","2,161",565,y,OTC,
Investment Equipment Llc,#10330,2014,781,868,494,494,"58,490",n,,
Fortitude Exploration Co,#30560,2014,781,849,,,630,n,,
East Cheyenne Gas Storage Llc,#10322,2014,772,695,,,"109,534",n,,
Mccartney Engineering Llc,#55030,2014,754,844,"17,530","17,530",,n,,
Production Management Inc,#72185,2014,735,735,"3,959","3,959",,n,,
Curton Capital Corp,#10134,2014,715,954,,,,n,,
Berenergy Corp,#7810,2014,699,760,,,,n,,
Coachman Energy Operating Company Llc,#10500,2014,681,362,"106,100","83,738","2,115",n,,
C & J Field Services,#10027,2014,681,"1,038",,,,y,,CJES
Diversified Energy Llc,#10428,2014,583,364,,,"4,398",n,,
Fritz & Digman Inc,#31250,2014,563,355,,,,n,,
Fahey Oil & Gas,#28780,2014,552,705,"4,885","4,885",,n,,
Conquest Oil Company,#19170,2014,533,563,,,"1,048",n,,
Rockies Oil & Gas Inc,#74878,2014,483,506,"7,471","7,471",,n,,
Jetta Operating Company Inc,#44645,2014,476,426,,,,n,,
Donnelly Casing Pulling Co,#24775,2014,467,533,,,"12,200",n,,
"Hubbs Iii, Llc",#41440,2014,442,351,,,6,n,,
Nichols * Orville B,#10329,2014,440,566,,,"2,174",n,,
Ausmus & Clark Oil,#5115,2014,431,379,,,9,n,,
Wy Woodland Operating Llc,#10393,2014,423,648,"1,183","1,183",,n,,
Industrial Gas Services Inc,#42950,2014,421,467,"11,424","11,304",,n,,
Antler Energy Llc,#10407,2014,409,417,"6,662","6,662",385,n,,
O'Brien Energy Resources Corp,#65110,2014,398,171,"38,611","38,611","6,001",n,,
Shawnee Oil Development Co Inc,#77900,2014,378,351,"2,681","2,681",,n,,
Mystique Resources Company,#10348,2014,370,363,"70,495","70,495",195,?,Could be a subsidiary of Mystique Energy?,
S & D Llc,#10362,2014,338,338,"8,218","8,218",,n,,
Cholla Production Llc,#16830,2014,333,362,"4,777","3,732","1,306",n,,
Stephens* James R,#82490,2014,322,326,,,906,n,,
Cwc Oil And Gas Llc,#10397,2014,317,334,,,,n,,
"Schreider & Company, Inc",#76859,2014,300,389,"8,534","4,178",,n,,
Matrix Oil Corporation,#10402,2014,273,372,,,636,n,,
Great Northern Gas Company,#69792,2014,270,210,"4,906","4,906",70,n,,
Standley* Robert K Dba Otis Energy,#81720,2014,266,148,,,"7,610",n,,
Wellstar Corporation,#95245,2014,253,,"1,595",,609,n,,
Beartooth Oil & Gas Company,#6975,2014,234,,"123,805","123,805",,n,,
Oxbow Properties Inc,#66540,2014,229,369,839,,30,n,,
Pape Oilfield Service Inc,#67165,2014,227,171,"9,975","8,789",,n,,
Texas Tea Of Colorado Llc Dba Texas Tea Llc,#87195,2014,217,266,196,196,21,n,,
Aurora Power Resources Inc,#10440,2014,208,,55,,"2,758",n,,
Tidal Wave Energy Inc,#10381,2014,203,339,,,"11,040",n,,
Yates Petroleum Corporation,#97810,2014,191,,"4,343","4,301",146,n,,
Kinder Morgan Co2 Co Lp,#46685,2014,184,184,"196,052,861","195,940,634","75,675",y,,KMI
Goodwin Energy Management Llc,#10395,2014,182,173,"2,984","2,984",90,n,,
Fountainhead Resources Ltd,#30658,2014,177,195,"2,699","2,699",,n,,
Wofford* William R,#97150,2014,170,175,,,,n,,
Ram Oil & Gas Inc,#10427,2014,164,,,,,?,Could be a subsidiary of RAM Energy?,RAME
Lundvall Oil & Gas Inc,#51760,2014,155,173,"1,441","1,441",,n,,
Antelope Energy Company Llc,#3250,2014,154,172,,,13,n,,
M E Iii Corporation,#52060,2014,151,,"8,913","8,913",20,n,,
Mcwhinney Holding Company Lllp,#55960,2014,145,346,90,,,n,,
Puckett Land Company,#10341,2014,135,175,"45,105","42,487","6,640",n,,
Stoneham Production Llc,#10391,2014,134,183,"18,759","9,404","48,540",n,,
Park Energy Petroleum Llc,#10126,2014,132,160,,,,n,,
Western Interior Energy Inc.,#95750,2014,128,212,,,,n,,
4-H Operating Corporation,#30675,2014,127,153,"3,767","3,561",81,n,,
Machii-Ross Petroleum Co,#52250,2014,117,181,809,809,,n,,
Homestead Oil Inc,#41050,2014,86,186,"4,821","4,641",72,n,,
D & G Roustabout Service,#22370,2014,76,,"27,641","27,641",100,n,,
Fees Jr And Son Oil & Gas* Walter S,#29470,2014,67,,"85,714","85,714",542,n,,
Rwl Enterprises,#75480,2014,63,,"1,594",769,,n,,
Samson Resources Company,#76104,2014,59,,"35,923,583","34,092,588","1,579,930",n,Largest privately held oil an gas company in US: https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001548691&owner=exclude&count=40&hidefilings=0,
National Fuel Corporation,#62340,2014,49,,"521,640","508,722",,n,,
Wpx Energy Production Llc,#96705,2014,45,139,"2,137,292","2,089,266","18,036",y,,WPX
Murchison Oil & Gas Inc,#61525,2014,44,,"505,661","505,517","1,879",n,,
Red Willow Production Company,#81295,2014,33,5,"21,997,379","21,997,379","503,499",n,,
Linn Bros Oil & Gas Inc.,#50910,2014,31,,"2,950","2,950",16,n,"there is another Linn Energy, don't seem related",
Hayes Petroleum Company,#39075,2014,28,60,,,"1,307",n,,
Bp America Production Company,#10000,2014,19,,"97,518,885","95,136,373","8,018,766",y,On NYSE,BP
Kugler*-Dean & Joe Dba D-J Oil Company,#49407,2014,16,,,,,n,,
Exxon Mobil Corporation,#28600,2014,13,,"49,371","49,371","1,136",y,,XOM
Schutz* Richard E,#10363,2014,12,177,,,,n,,
Bp Energy Inc,#5560,2014,9,,"1,223","1,223",26,y,,BPE
Gunnison Energy Corporation,#100122,2014,8,,"733,901","625,664","6,404",n,,
Glade* Chris Oil & Gas Llc,#10378,2014,8,,,,20,n,,
Arch Oil & Gas Llc,#10528,2014,5,,,,315,?,,
Huntington Energy Llc,#42300,2014,3,,"122,566","106,539",531,n,,
Pioneer Natural Resources Usa Inc,#10084,2014,,,"41,747,884","36,043,695","25,468,059",y,,PXD
Energen Resources Corporation,#27480,2014,,,"8,150,008","8,087,065","311,403",y,,EGN
Four Star Oil & Gas Company,#30680,2014,,,"6,303,429","6,139,452","276,295",n,,
Rosewood Resources Inc,#75027,2014,,,"5,159,143","4,832,251","730,669",n,,
Elm Ridge Exploration Company Llc,#26625,2014,,,"4,760,511","4,760,511","305,498",n,,
Augustus Energy Resources Llc,#10489,2014,,,"4,460,403","4,109,787","598,583",n,Related to Augustus Energy Partners,
Tabula Rasa Energy Llc,#10467,2014,,,"3,981,890","3,981,890",,n,,
Arp Production Company Llc,#10471,2014,,,"2,980,648","2,942,948","3,057,157",y,,ARP
"Maralex Resources, Inc",#53255,2014,,,"2,931,960","2,865,417","89,725",n,,
Chevron Midcontinent Lp,#16695,2014,,,"2,876,734","2,854,419","456,039",y,Subsidiary of Chevron,CVX
Mcelvain Energy Inc,#55575,2014,,,"1,911,833","1,866,421","106,730",n,,
Gosney & Sons Inc,#34725,2014,,,"1,719,062","1,713,362","48,889",n,,
Omimex Petroleum Inc,#66190,2014,,,"945,573","945,573","273,742",n,,
Black Hills Exploration And Production Inc,#95715,2014,,,"836,837","787,882","12,782",n,,
Enervest Operating Llc,#10098,2014,,,"817,518","777,909","7,945",n,,
Linde Inc,#1375,2014,,,"805,858","802,276",504,?,maybe part of Linde Industrial gas,
Prime Operating Company,#72118,2014,,,"284,325","244,258","75,101",y,Subsidiary of Prime Energy,PNRG
Atlas Resources Llc Dba Atlas Rockies Llc,#200149,2014,,,"257,052","241,042","259,280",y,,ATLS
Vaquero Energy Inc,#10318,2014,,,"223,887","223,887",333,n,,
Thompson Engineering & Production,#87830,2014,,,"207,083","204,802","2,725",n,,
Faulconer Inc* Vernon E,#29200,2014,,,"203,699","194,721","1,366",n,,
Pablo Operating Company,#66575,2014,,,"189,514","176,731","7,740",n,,
Nonsuch Natural Gas Inc,#10163,2014,,,"177,397","177,397",,n,,
Petrox Resources Inc,#69805,2014,,,"158,354","158,354","1,794",y,Canadian,PETROX
Energy Alliance Company Inc,#27520,2014,,,"155,164","133,387","11,960",n,,
Benson Montin-Greer Drilling Corporation,#7650,2014,,,"106,232","93,703","1,185",n,,
Monument Gas Marketing Inc,#59925,2014,,,"104,852","66,166",,n,,
Duke Gas Company Llc,#25255,2014,,,"82,496","82,023",,y,Need to double check: Subsidiary of Duke Energy,DUK
Thomas L Spring Llc,#81480,2014,,,"74,277","74,277",,n,,
Coleman Oil & Gas Inc,#18160,2014,,,"46,297","46,297",393,n,,
Argali Exploration Company,#3975,2014,,,"44,818","44,818",,n,,
Petro Mex Resources,#10059,2014,,,"42,093","42,093",234,n,,
Berexco Llc,#7820,2014,,,"39,098","39,098","3,154",n,,
Gordon Engineering Inc,#34720,2014,,,"37,810","37,810",235,n,,
Xog Operating Llc,#10144,2014,,,"33,966","31,208",328,n,,
Kaiser-Francis Oil Company,#45898,2014,,,"29,732","29,732",,n,,
Dugan Production Corp,#25250,2014,,,"17,003","14,186",93,n,,
Newell Energy Ltd,#10324,2014,,,"11,484","10,440",780,n,,
Northstar Gas Company Inc,#64310,2014,,,"9,786","9,786",,n,,
San Marco Petroleum Inc,#74975,2014,,,"9,677","9,677",,n,,
Catamount Energy Partners Llc,#10464,2014,,,"4,748","4,418",,n,,
Great Western Drilling Co,#35600,2014,,,"3,999","3,999",,n,,
True Oil Llc,#90450,2014,,,"3,952","3,952",82,n,,
B & B Oil Company Ltd,#5540,2014,,,"3,645","3,645",,n,,
American Petroleum Energy Co,#1830,2014,,,"3,203","3,203",,n,,
Mclane Trust* Dixie,#55850,2014,,,"2,256","2,256",,n,,
X Field Gas Llc,#10372,2014,,,"2,235","2,235",,n,,
Lorentz Oil & Gas Llc,#10117,2014,,,"1,865","1,865",,n,,
Combined Resources Corp,#18950,2014,,,"1,827","1,827",,n,,
Mont Rouge Inc,#59800,2014,,,"1,813","1,813",,n,,
Wise* Wayne L,#97120,2014,,,"1,199","1,170",,n,,
Holcomb Oil & Gas Inc,#40547,2014,,,487,487,,n,,
Bates* James Edward,#6575,2014,,,69,69,,n,,
